X,Y,perte_charge
0.307645972,0.004663298,5.0
0.314859562,0.00464374,5.0
0.332150171,0.00460976,5.0
0.347264653,0.004578021,5.0
0.358479977,0.00454645,5.0
0.373306391,0.004507299,5.0
0.391225227,0.004468518,5.0
0.405146096,0.004441583,5.0
0.425945071,0.004414881,5.0
0.443914464,0.004384495,5.0
0.460441327,0.004346743,5.0
0.473803477,0.004324281,5.0
0.493007719,0.004290794,5.0
0.509739534,0.00426124,5.0
0.526620557,0.00423189,5.0
0.536760339,0.004209986,5.0
0.551898534,0.004180971,5.0
0.567914807,0.004155769,5.0
0.584860438,0.00412714,5.0
0.601833266,0.004098708,5.0
0.620776776,0.004066953,5.0
0.638791897,0.004035436,5.0
0.661521862,0.003993782,5.0
0.675868423,0.00396969,5.0
0.693275221,0.003945765,5.0
0.707747751,0.00391516,5.0
0.720802104,0.00390168,5.0
0.734680764,0.003878139,5.0
0.756602397,0.003841434,5.0
0.776705416,0.003811675,5.0
0.794812139,0.003778852,5.0
0.827684766,0.003697953,5.0
0.844963164,0.003662928,5.0
0.873639627,0.003606332,5.0
0.902571838,0.003553697,5.0
0.930981415,0.00350183,5.0
0.962577243,0.003450741,5.0
0.995245291,0.003388629,5.0
1.022501219,0.003344973,5.0
1.05636338,0.003301915,5.0
1.089613883,0.003262238,5.0
1.122125998,0.003203537,5.0
1.155608338,0.00315683,5.0
1.186312888,0.003108101,5.0
1.219770377,0.003065451,5.0
1.247214522,0.00303386,5.0
1.279336298,0.003010431,5.0
1.30916049,0.002971689,5.0
1.340744995,0.002935998,5.0
1.377462764,0.002880734,5.0
1.410695025,0.002836312,5.0
1.455098662,0.002795044,5.0
1.496663055,0.002767881,5.0
1.533989712,0.002729955,5.0
1.573497281,0.00269956,5.0
1.608900209,0.002674116,5.0
1.638576227,0.002648894,5.0
1.679442376,0.002623952,5.0
1.711779314,0.002601468,5.0
1.753077488,0.002574752,5.0
1.805386674,0.002541751,5.0
1.851884016,0.002509162,5.0
1.901088825,0.0024642,5.0
1.942318356,0.002438917,5.0
1.993926238,0.002407685,5.0
